,title,rating,num_ratings,num_reviews,num_awards,language,num_page,cover_type,published_year,genre,author
0,Ways of Seeing,3.91,337779,2301,2.0,English,176 pages,Paperback,Published 1990 by Penguin (first published 1972),Art,John Berger
1,The Story of Art,3.95,386030,1268,,English,688 pages,Hardcover,Published April 9th 1995 by Phaidon Press (first published 1950),Art,E.H. Gombrich
2,The New Drawing on the Right Side of the Brain,3.87,337821,935,,English,291 pages,Paperback,Published August 30th 1999 by Tarcher (first published 1979),Art,Betty Edwards
3,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,3.96,263696,7934,1.0,English,160 pages,Paperback,Published February 28th 2012 by Workman Publishing Company,Nonfiction,Austin Kleon
4,Wall and Piece,3.85,221069,961,,English,240 pages,Paperback,Published 2006 by Century (first published 2005),Art,Banksy
5,The Artist's Way: A Spiritual Path to Higher Creativity,3.94,105353,3656,,English,237 pages,Paperback,Published March 4th 2002 by Jeremy P. Tarcher (first published July 17th 1992),Nonfiction,Julia Cameron
6,Art and Fear: Observations on the Perils (and Rewards) of Artmaking,3.76,84759,1295,,English,122 pages,Paperback,Published April 1st 2001 by Image Continuum Press - Image Continuum Press (first published 1993),Art,David Bayles
7,The Art Book,3.85,151848,334,,English,515 pages,Paperback,Published April 17th 1997 by Phaidon Press (first published 1997),Art,Phaidon Press
8,Girl with a Pearl Earring,3.92,704637,11481,4.0,English,233 pages,Paperback,Published 2005 by Plume/Penguin (first published 1999),Historical,Tracy Chevalier
9,The Letters of Vincent van Gogh,4.08,90909,552,1.0,English,528 pages,Paperback,Published July 31st 1997 by Penguin Classics (first published 1914),Art,Vincent van Gogh
10,Concerning the Spiritual in Art,3.84,83874,435,,English,80 pages,Paperback,Published June 1st 1977 by Dover Publications (first published January 1912),Art,Wassily Kandinsky
11,Seven Days in the Art World,3.62,63113,779,,English,320 pages,Paperback,Published November 2nd 2009 by W. W. Norton & Company (first published November 3rd 2008),Art,Sarah Thornton
