,title,rating,num_ratings,num_reviews,num_awards,language,num_page,cover_type,published_year,genre,author
204,Secret Knowledge: Rediscovering the Lost Techniques of the Old Masters,4.16,2176.0,103.0,0.0,English,336 pages,Paperback,Published October 5th 2006 by Avery (first published 2001),Art,David Hockney
212,Fun with a Pencil,4.12,2314.0,52.0,0.0,English,121 pages,Paperback,Published May 8th 1939 by Viking Books,Art,Andrew Loomis
296,Dada: Art and Anti-Art,4.26,598.0,40.0,0.0,English,248 pages,Paperback,Published May 17th 1997 by Thames Hudson (first published 1964),Art,Hans Richter
374,"The Value of Art: Money, Power, Beauty",4.03,496.0,35.0,0.0,English,208 pages,Hardcover,Published April 10th 2012 by Prestel (first published January 1st 2012),Art,Michael Findlay
386,Studies in Iconology: Humanistic Themes in the Art of the Renaissance,4.21,982.0,17.0,0.0,English,400 pages,Paperback,Published March 15th 1972 by Westview Press (first published 1967),Art,Erwin Panofsky
392,100 Artists' Manifestos: From the Futurists to the Stuckists,4.1,398.0,23.0,0.0,English,454 pages,Paperback,Published January 27th 2011 by Penguin Classics,Art,Alex Danchev
489,Hiroshige,4.15,431.0,24.0,0.0,English,96 pages,Paperback,Published October 1st 2007 by Taschen (first published January 1st 2007),Art,Adele Schlombs
818,Saddest Place on Earth,4.26,598.0,19.0,0.0,English,100 pages,Paperback,Published February 25th 2015 by Last Gasp (first published June 11th 2005),Art,Camille Rose Garcia
858,Lives of the Artists: Portraits of Ten Artists Whose Work and Lifestyles Embody the Future of Contemporary Art,4.08,555.0,40.0,0.0,English,272 pages,Hardcover,Published October 28th 2008 by Henry Holt and Co.,Art,Calvin Tomkins
1041,Boy: Tales of Childhood,4.07,65354.0,3255.0,0.0,English,176 pages,Paperback,Published April 5th 2001 by Puffin Books (first published 1984),Nonfiction,Roald Dahl
1310,Balloons Over Broadway: The True Story of the Puppeteer of Macy's Parade,4.07,12648.0,1937.0,5.0,English,40 pages,Hardcover,Published November 1st 2011 by Houghton Mifflin Books for Children,Childrens,Melissa Sweet
1500,The Secret Life of Marilyn Monroe,4.06,4869.0,444.0,0.0,English,560 pages,Hardcover,Published August 27th 2009 by Grand Central Publishing (first published 2009),Biography,J. Randy Taraborrelli
1536,Stalin’s Daughter: The Extraordinary and Tumultuous Life of Svetlana Alliluyeva,3.96,4428.0,629.0,5.0,English,741 pages,Hardcover,Published June 2nd 2015 by Harper,Biography,Rosemary Sullivan
1784,"The Autobiography of Charles Darwin, 1809–82",3.83,2631.0,228.0,0.0,English,224 pages,Paperback,Published September 17th 1993 by W.W. Norton & Company (first published 1887),Biography,Charles Darwin
2080,"Launch: An Internet Millionaire's Secret Formula to Sell Almost Anything Online, Build a Business You Love, and Live the Life of Your Dreams",3.98,3857.0,261.0,0.0,English,170 pages,Kindle Edition,Published June 24th 2014 by Morgan James Publishing (first published June 1st 2014),Business,Jeff Walker
2189,Fierce Conversations: Achieving Success at Work and in Life One Conversation at a Time,4.01,8795.0,479.0,0.0,English,336 pages,Paperback,Published May 2nd 2017 by New American Library (first published 2002),Business,Susan Scott
2419,"Rich Dad's Retire Young, Retire Rich: How to Get Rich Quickly and Stay Rich Forever!",4.08,7466.0,240.0,0.0,English,383 pages,Paperback,Published 2002 by Time Warner,Business,Robert T. Kiyosaki
2455,Think Big and Kick Ass in Business and Life,3.85,3459.0,314.0,0.0,English,384 pages,Hardcover,Published October 16th 2007 by Harper Business (first published 2007),Business,Donald J. Trump
2561,Badass: Making Users Awesome,4.21,982.0,127.0,0.0,English,294 pages,Paperback,Published February 23rd 2015 by O'Reilly Media (first published January 1st 2015),Business,Kathy Sierra
2916,Boy: Tales of Childhood,4.07,65352.0,3255.0,0.0,English,176 pages,Paperback,Published April 5th 2001 by Puffin Books (first published 1984),Nonfiction,Roald Dahl
3390,The Undefeated,4.68,6142.0,1455.0,7.0,English,40 pages,Hardcover,Published April 2nd 2019 by Versify,Childrens,Kwame Alexander
3562,The Voyage of the Dawn Treader,4.09,442631.0,9281.0,0.0,English,248 pages,Hardcover,Published September 1st 2006 by HarperCollins (first published September 15th 1952),Fantasy,C.S. Lewis
3624,The Holiness of God,4.39,19811.0,850.0,0.0,English,240 pages,Paperback,Published March 3rd 2020 by Tyndale Momentum (first published November 30th 1984),Religion,R.C. Sproul
3759,God in the Dock: Essays on Theology and Ethics,4.23,8004.0,343.0,0.0,English,346 pages,Paperback,Published March 24th 1972 by William B. Eerdmans Publishing Company (first published July 2nd 1971),Religion,C.S. Lewis
3763,7: An Experimental Mutiny Against Excess,4.08,19339.0,1768.0,0.0,English,240 pages,Paperback,Published January 1st 2012 by B Books (first published December 19th 2011),Nonfiction,Jen Hatmaker
3800,One Tuesday Morning,4.39,19811.0,780.0,1.0,English,352 pages,Paperback,Published May 11th 2003 by Zondervan (first published April 28th 2003),Christian,Karen Kingsbury
3872,Hearing God: Developing a Conversational Relationship with God,4.15,4656.0,361.0,0.0,English,228 pages,Paperback,Published October 1st 1999 by IVP Books (first published 1984),Christian,Dallas Willard
4030,The Case for the Real Jesus: A Journalist Investigates Current Attacks on the Identity of Christ,4.37,3797.0,188.0,0.0,English,311 pages,Hardcover,Published August 19th 2007 by Zondervan Publishing Company,Christian,Lee Strobel
4324,Taken,4.14,5989.0,561.0,0.0,English,424 pages,Hardcover,Published April 28th 2015 by Bethany House Publishers,Christian Fiction,Dee Henderson
4333,The Preacher's Daughter,4.17,8623.0,425.0,0.0,English,350 pages,Paperback,Published November 1st 2005 by Bethany House Publishers (first published 2005),Amish,Beverly Lewis
4345,Unspoken,4.2,6023.0,587.0,0.0,English,448 pages,Paperback,Published October 1st 2013 by Bethany House Publishers,Christian Fiction,Dee Henderson
4389,Blessed Child,4.2,6023.0,306.0,0.0,English,368 pages,Paperback,Published May 21st 2013 by Thomas Nelson (first published April 4th 2001),Christian Fiction,Ted Dekker
4951,An Old-Fashioned Girl,4.08,19339.0,1099.0,0.0,English,288 pages,Paperback,Published October 25th 2005 by Dodo Press (first published 1870),Classics,Louisa May Alcott
5259,Old Possum's Book of Practical Cats,4.07,26410.0,1978.0,0.0,English,56 pages,Hardcover,Published 1982 by Harcourt Brace & Company (first published October 5th 1939),Poetry,T.S. Eliot
5489,"Ultimate Spider-Man, Volume 1: Power and Responsibility",4.15,16971.0,543.0,0.0,English,200 pages,Paperback,Published May 16th 2007 by Marvel (first published 2001),Sequential Art,Brian Michael Bendis
5598,"All-Star Superman, Vol. 2",4.33,14729.0,303.0,1.0,English,154 pages,Hardcover,Published February 17th 2009 by DC Comics (first published January 1st 2009),Sequential Art,Grant Morrison
5793,Green Arrow: Year One,4.06,6892.0,417.0,0.0,English,160 pages,Hardcover,Published April 22nd 2008 by DC Comics (first published 2007),Sequential Art,Andy Diggle
5826,"The Walking Dead, Vol. 21: All Out War Part 2",4.11,8140.0,525.0,0.0,English,136 pages,Comics,Published July 29th 2014 by Image Comics (first published July 23rd 2014),Sequential Art,Robert Kirkman
5921,Asterix and the Black Gold,4.04,5657.0,108.0,0.0,English,48 pages,Paperback,Published November 15th 2001 by Asterix (first published January 1st 1981),Sequential Art,Albert Uderzo
5928,Asterix and the Magic Carpet,3.95,5001.0,117.0,0.0,English,48 pages,Paperback,Published March 21st 2002 by Asterix (first published 1987),Sequential Art,Albert Uderzo
5972,Buffy the Vampire Slayer: Last Gleaming,3.92,5833.0,406.0,1.0,English,168 pages,Paperback,Published June 1st 2011 by Dark Horse Books,Sequential Art,Joss Whedon
5978,X-Men: Second Coming,4.14,5925.0,186.0,0.0,English,392 pages,Hardcover,Published October 13th 2010 by Marvel Comics,Sequential Art,Mike Carey
6051,"Berlin, Vol. 1: City of Stones",3.94,6022.0,358.0,0.0,English,212 pages,Paperback,Published February 2001 by Drawn and Quarterly (first published June 1st 2000),Sequential Art,Jason Lutes
6363,"Anthony Bourdain's Les Halles Cookbook: Strategies, Recipes, and Techniques of Classic Bistro Cooking",4.14,5925.0,148.0,0.0,English,304 pages,Hardcover,Published 2004 by Bloomsbury USA,Food and Drink,Anthony Bourdain
6505,All About Braising: The Art of Uncomplicated Cooking,4.14,1868.0,40.0,0.0,English,481 pages,Hardcover,Published October 17th 2004 by W. W. Norton Company (first published October 2004),Food and Drink,Molly Stevens
6528,Rick Bayless's Mexican Kitchen,4.15,1931.0,33.0,0.0,English,448 pages,Hardcover,Published October 21st 1996 by Scribner,Food and Drink,Rick Bayless
6543,The Little Women Cookbook: Tempting Recipes from the March Sisters and Their Friends and Family,4.1,398.0,128.0,1.0,English,112 pages,Hardcover,Published October 1st 2019 by Harvard Common Press,Food and Drink,Wini Moranville
6574,La Dolce Vegan!: Vegan Livin' Made Easy,3.85,3459.0,60.0,0.0,English,334 pages,Paperback,Published October 1st 2005 by Arsenal Pulp Press,Food and Drink,Sarah Kramer
6597,Giada at Home: Family Recipes from Italy and California,4.16,2176.0,42.0,0.0,English,240 pages,Hardcover,Published March 30th 2010 by Clarkson Potter (first published 2010),Food and Drink,Giada De Laurentiis
6621,"The Geeky Chef Cookbook: Real-Life Recipes for Your Favorite Fantasy Foods - Unofficial Recipes from Doctor Who, Game of Thrones, Harry Potter, and more",4.08,555.0,127.0,0.0,English,136 pages,Paperback,Published May 19th 2015 by Race Point Publishing (first published April 15th 2015),Food and Drink,Cassandra Reeder
6687,The Best 30-minute Recipe: A Best Recipe Classic,4.13,1455.0,41.0,0.0,English,278 pages,Hardcover,Published October 1st 2006 by America's Test Kitchen (first published September 30th 2006),Food and Drink,Cook's Illustrated
6707,Southern Cakes: Sweet and Irresistible Recipes for Everyday Celebrations,4.31,1605.0,31.0,0.0,English,168 pages,Paperback,Published June 7th 2007 by Chronicle Books,Food and Drink,Nancie McDermott
6727,Dinner: The Playbook: A 30-Day Plan for Mastering the Art of the Family Meal,3.83,732.0,89.0,0.0,English,240 pages,Paperback,Published August 26th 2014 by Ballantine Books (first published January 1st 2014),Food and Drink,Jenny Rosenstrach
6894,The Complete Cooking Light Cookbook,4.15,3546.0,19.0,0.0,English,528 pages,Hardcover,Published December 3rd 2005 by Oxmoor House (first published June 2000),Food and Drink,Cooking Light Magazine
6904,"Cradle of Flavor: Home Cooking from the Spice Islands of Indonesia, Singapore, and Malaysia",4.15,431.0,20.0,0.0,English,384 pages,Hardcover,Published August 17th 2006 by W. W. Norton Company,Food and Drink,James Oseland
7098,The Voyage of the Dawn Treader,4.09,442631.0,9282.0,0.0,English,248 pages,Hardcover,Published September 1st 2006 by HarperCollins (first published September 15th 1952),Fantasy,C.S. Lewis
